,red,blue,devotion,arrival,departure,bird,quarrel,strength,ocean,needle,mischief,mockery,blossom,basement,narrowness,wideness,peaceful,staircase,fight,jungle,river,toxin,rushed,celebration,circle,cradle,hero,sigh
red,0,0.66931989,0.112822882,0.448658539,0.088773696,0.300744813,0.07032267,0.348310467,0.425427365,0.156505981,0.13780218,0.072681755,0.12813626,0.156505981,0.191156837,0.191156837,0.168311962,0.191156837,0.13780218,0.205576695,0.814681928,0.108428438,0.300744813,0.072681755,0.205576695,0.13780218,0.448658539,0.088773696
blue,0.66931989,0,0.112822882,0.156505981,0.108428438,0.198600529,0.133125915,0.348310467,0.108428438,0.296277174,0.13780218,0.088773696,0.156505981,0.296277174,0.191156837,0.191156837,0.168311962,0.361873757,0.13780218,0.348310467,0.072681755,0.168311962,0.104909097,0.088773696,0.519618157,0.198600529,0.156505981,0.108428438
devotion,0.112822882,0.112822882,0,0.361873757,0.441993605,0.059506788,0.242571233,0.205576695,0.072681755,0,0.366060187,0.299704732,0.072681755,0,0.13780218,0.112822882,0.296277174,0,0.366060187,0.059506788,0,0,0.366060187,0.447106922,0.205576695,0.059506788,0.299704732,0.233479488
arrival,0.448658539,0.156505981,0.361873757,0,0.539852208,0.300744813,0.296277174,0.108428438,0.132434793,0.156505981,0.296277174,0.242571233,0.12813626,0.156505981,0.168311962,0.059506788,0.088773696,0.191156837,0.361873757,0.205576695,0.108428438,0.108428438,0.447106922,0.361873757,0.366060187,0.13780218,0.448658539,0.285172491
departure,0.088773696,0.108428438,0.441993605,0.539852208,0,0.088773696,0.361873757,0.132434793,0.108428438,0,0.361873757,0.296277174,0.108428438,0,0.205576695,0.072681755,0.108428438,0,0.441993605,0.088773696,0,0,0.361873757,0.441993605,0.296277174,0.088773696,0.296277174,0.361873757
bird,0.300744813,0.198600529,0.059506788,0.300744813,0.088773696,0,0.134666017,0.108428438,0.108428438,0.299704732,0.072681755,0.168311962,0.104909097,0.198600529,0.072681755,0.059506788,0.112822882,0.242571233,0.072681755,0.13780218,0.088773696,0.205576695,0.201805739,0.072681755,0.20089809,0.20089809,0.300744813,0.539852208
quarrel,0.07032267,0.133125915,0.242571233,0.296277174,0.361873757,0.134666017,0,0.072681755,0.059506788,0.246229027,0.198600529,0.16260036,0.07032267,0.133125915,0.112822882,0.039888593,0.059506788,0.16260036,0.548564872,0.092371563,0.032658018,0.032658018,0.198600529,0.242571233,0.201595277,0.134666017,0.16260036,0.191156837
strength,0.348310467,0.348310467,0.205576695,0.108428438,0.132434793,0.108428438,0.072681755,0,0.132434793,0,0.348310467,0.108428438,0.132434793,0,0.441993605,0.441993605,0.306684391,0,0.251091942,0.108428438,0,0,0.168311962,0.108428438,0.374585161,0.108428438,0.059506788,0.132434793
ocean,0.425427365,0.108428438,0.072681755,0.132434793,0.108428438,0.108428438,0.059506788,0.132434793,0,0.088773696,0.088773696,0.088773696,0.251091942,0.088773696,0.088773696,0.072681755,0.108428438,0.108428438,0.088773696,0.161756221,0.519618157,0.132434793,0.088773696,0.088773696,0.132434793,0.205576695,0.132434793,0.108428438
needle,0.156505981,0.296277174,0,0.156505981,0,0.299704732,0.246229027,0,0.088773696,0,0,0,0.367330544,0.296277174,0,0,0,0.361873757,0,0.205576695,0.072681755,0.072681755,0.104909097,0,0.367330544,0.299704732,0.156505981,0
mischief,0.13780218,0.13780218,0.366060187,0.296277174,0.361873757,0.072681755,0.198600529,0.348310467,0.088773696,0,0,0.245377481,0.088773696,0,0.13780218,0.13780218,0.205576695,0,0.242571233,0.072681755,0,0,0.198600529,0.366060187,0.251091942,0.072681755,0.245377481,0.191156837
mockery,0.072681755,0.088773696,0.299704732,0.242571233,0.296277174,0.168311962,0.16260036,0.108428438,0.088773696,0,0.245377481,0,0.088773696,0,0.104909097,0.059506788,0.191156837,0,0.198600529,0.072681755,0,0,0.16260036,0.299704732,0.133125915,0.072681755,0.301181924,0.205576695
blossom,0.12813626,0.156505981,0.072681755,0.12813626,0.108428438,0.104909097,0.07032267,0.132434793,0.251091942,0.367330544,0.088773696,0.088773696,0,0.156505981,0.088773696,0.072681755,0.108428438,0.191156837,0.088773696,0.168311962,0.059506788,0.059506788,0.088773696,0.088773696,0.132434793,0.205576695,0.12813626,0.108428438
basement,0.156505981,0.296277174,0,0.156505981,0,0.198600529,0.133125915,0,0.088773696,0.296277174,0,0,0.156505981,0,0,0,0,0.361873757,0,0.205576695,0.072681755,0.072681755,0.104909097,0,0.198600529,0.198600529,0.156505981,0
narrowness,0.191156837,0.191156837,0.13780218,0.168311962,0.205576695,0.072681755,0.112822882,0.441993605,0.088773696,0,0.13780218,0.104909097,0.088773696,0,0,0.66931989,0.168311962,0,0.168311962,0.072681755,0,0,0.168311962,0.168311962,0.205576695,0.072681755,0.156505981,0.168311962
wideness,0.191156837,0.191156837,0.112822882,0.059506788,0.072681755,0.059506788,0.039888593,0.441993605,0.072681755,0,0.13780218,0.059506788,0.072681755,0,0.66931989,0,0.168311962,0,0.13780218,0.059506788,0,0,0.092371563,0.059506788,0.205576695,0.059506788,0.032658018,0.072681755
peaceful,0.168311962,0.168311962,0.296277174,0.088773696,0.108428438,0.112822882,0.059506788,0.306684391,0.108428438,0,0.205576695,0.191156837,0.108428438,0,0.168311962,0.168311962,0,0,0.205576695,0.088773696,0,0,0.242571233,0.088773696,0.306684391,0.088773696,0.048720038,0.13780218
staircase,0.191156837,0.361873757,0,0.191156837,0,0.242571233,0.16260036,0,0.108428438,0.361873757,0,0,0.191156837,0.361873757,0,0,0,0,0,0.251091942,0.088773696,0.088773696,0.12813626,0,0.242571233,0.242571233,0.191156837,0
fight,0.13780218,0.13780218,0.366060187,0.361873757,0.441993605,0.072681755,0.548564872,0.251091942,0.088773696,0,0.242571233,0.198600529,0.088773696,0,0.168311962,0.13780218,0.205576695,0,0,0.072681755,0,0,0.285172491,0.367330544,0.251091942,0.072681755,0.198600529,0.285172491
jungle,0.205576695,0.348310467,0.059506788,0.205576695,0.088773696,0.13780218,0.092371563,0.108428438,0.161756221,0.205576695,0.072681755,0.072681755,0.168311962,0.205576695,0.072681755,0.059506788,0.088773696,0.251091942,0.072681755,0,0.132434793,0.132434793,0.13780218,0.072681755,0.425427365,0.425427365,0.205576695,0.088773696
river,0.814681928,0.072681755,0,0.108428438,0,0.088773696,0.032658018,0,0.519618157,0.072681755,0,0,0.059506788,0.072681755,0,0,0,0.088773696,0,0.132434793,0,0.108428438,0.072681755,0,0.072681755,0.088773696,0.108428438,0
toxin,0.108428438,0.168311962,0,0.108428438,0,0.205576695,0.032658018,0,0.132434793,0.072681755,0,0,0.059506788,0.072681755,0,0,0,0.088773696,0,0.132434793,0.108428438,0,0.072681755,0,0.191156837,0.088773696,0.191156837,0
rushed,0.300744813,0.104909097,0.366060187,0.447106922,0.361873757,0.201805739,0.198600529,0.168311962,0.088773696,0.104909097,0.198600529,0.16260036,0.088773696,0.104909097,0.168311962,0.092371563,0.242571233,0.12813626,0.285172491,0.13780218,0.072681755,0.072681755,0,0.285172491,0.548564872,0.092371563,0.449126931,0.441993605
celebration,0.072681755,0.088773696,0.447106922,0.361873757,0.441993605,0.072681755,0.242571233,0.108428438,0.088773696,0,0.366060187,0.299704732,0.088773696,0,0.168311962,0.059506788,0.088773696,0,0.367330544,0.072681755,0,0,0.285172491,0,0.198600529,0.072681755,0.299704732,0.285172491
circle,0.205576695,0.519618157,0.205576695,0.366060187,0.296277174,0.20089809,0.201595277,0.374585161,0.132434793,0.367330544,0.251091942,0.133125915,0.132434793,0.198600529,0.205576695,0.205576695,0.306684391,0.242571233,0.251091942,0.425427365,0.072681755,0.191156837,0.548564872,0.198600529,0,0.361873757,0.13780218,0.156505981
cradle,0.13780218,0.198600529,0.059506788,0.13780218,0.088773696,0.20089809,0.134666017,0.108428438,0.205576695,0.299704732,0.072681755,0.072681755,0.205576695,0.198600529,0.072681755,0.059506788,0.088773696,0.242571233,0.072681755,0.425427365,0.088773696,0.088773696,0.092371563,0.072681755,0.361873757,0,0.13780218,0.088773696
hero,0.448658539,0.156505981,0.299704732,0.448658539,0.296277174,0.300744813,0.16260036,0.059506788,0.132434793,0.156505981,0.245377481,0.301181924,0.12813626,0.156505981,0.156505981,0.032658018,0.048720038,0.191156837,0.198600529,0.205576695,0.108428438,0.191156837,0.449126931,0.299704732,0.13780218,0.13780218,0,0.156505981
sigh,0.088773696,0.108428438,0.233479488,0.285172491,0.361873757,0.539852208,0.191156837,0.132434793,0.108428438,0,0.191156837,0.205576695,0.108428438,0,0.168311962,0.072681755,0.13780218,0,0.285172491,0.088773696,0,0,0.441993605,0.285172491,0.156505981,0.088773696,0.156505981,0
