Slow,Moderate,Fast,Soft-Piano,Loud,Moderato,Crescendo,Decrescendo,Perfect,Imperfect,Sharp,Soft,Intermediate,High,Ascending,Descending,Inclusive
arrival,basement,bird,blossom,celebration,basement,arrival,departure,bird,arrival,blue,basement,cradle,bird,arrival,basement,blossom
blossom,blue,celebration,circle,fight,bird,blue,sigh,cradle,blossom,fight,jungle,jungle,celebration,departure,,blue
jungle,circle,fight,cradle,hero,devotion,mockery,,devotion,celebration,narrowness,ocean,narrowness,hero,peaceful,,circle
narrowness,cradle,hero,jungle,red ,mischief,needle,,hero,circle,needle,peaceful,river,mischief,quarrel,,devotion
ocean,departure,mischief,ocean,river,narrowness,quarrel,,mischief,departure,quarrel,river,,needle,staircase,,fight
sigh,devotion,needle,,rushed,peaceful,staircase,,strength,mockery,red,sigh,,rushed,wideness,,mockery
toxin,mockery,peaceful,,strength,toxin,wideness,,,rushed,toxin,staircase,,toxin,,,ocean
,strength,quarrel,,,,,,,wideness,,,,,,,red
,,red,,,,,,,,,,,,,,sigh
,,river,,,,,,,,,,,,,,strength
,,rushed,,,,,,,,,,,,,,
,,staircase,,,,,,,,,,,,,,
,,wideness,,,,,,,,,,,,,,
