Clip name,dissonant,consonant,fast,slow,low,high
arrival,0.26,0.94,0.34,0.8,0.6,0.64
basement,0.56,0.62,0.36,0.86,1,0.24
bird,0.28,0.9,0.86,0.26,0.3,0.92
blossom,0.3,0.96,0.28,0.9,0.38,0.84
blue,0.68,0.56,0.44,0.74,0.7,0.64
celebration,0.3,0.9,0.92,0.3,0.3,0.94
circle,0.36,0.84,0.36,0.8,0.5,0.68
cradle,0.34,0.88,0.26,0.86,0.56,0.58
departure,0.36,0.82,0.44,0.76,0.48,0.8
devotion,0.26,0.94,0.44,0.72,0.7,0.54
fight,0.64,0.58,0.94,0.28,0.72,0.64
hero,0.3,0.9,0.98,0.2,0.4,0.84
jungle,0.58,0.52,0.4,0.82,0.82,0.42
mischief,0.24,0.94,0.9,0.26,0.5,0.76
mockery,0.8,0.42,0.66,0.44,0.44,0.82
narrowness,0.84,0.36,0.32,0.9,0.76,0.5
needle,0.9,0.34,0.92,0.3,0.48,0.9
ocean,0.5,0.7,0.42,0.78,0.56,0.68
peaceful,0.3,0.9,0.66,0.52,0.36,0.92
quarrel,0.82,0.46,0.88,0.34,0.56,0.64
red,0.66,0.56,0.88,0.32,0.7,0.76
river,0.44,0.76,1,0.2,0.46,0.76
rushed,0.44,0.84,0.98,0.22,0.32,0.9
sigh,0.56,0.64,0.28,0.88,0.48,0.82
staircase,0.5,0.68,0.6,0.62,0.68,0.64
strength,0.3,0.86,0.4,0.84,0.7,0.52
toxin,0.84,0.44,0.48,0.74,0.5,0.7
wideness,0.36,0.84,0.7,0.54,0.36,0.86
